,ticker,periodOfReport,linkToFilingDetails,formType,cik
192,DVN,2014-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000119312514192498/d718246d10q.htm,10-Q,1090012
193,DVN,2013-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312513429977/d620405d10q.htm,10-Q,1090012
194,DVN,2013-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312513323925/d569585d10q.htm,10-Q,1090012
195,DVN,2013-03-31,https://www.sec.gov/Archives/edgar/data/1090012/000119312513192272/d524180d10q.htm,10-Q,1090012
196,DVN,2012-09-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312512457117/d435808d10q.htm,10-Q,1090012
197,DVN,2012-06-30,https://www.sec.gov/Archives/edgar/data/1090012/000119312512329113/d388411d10q.htm,10-Q,1090012
198,SPWR,2022-04-03,https://www.sec.gov/Archives/edgar/data/867773/000086777322000029/spwr-20220403.htm,10-Q,867773
199,SPWR,2021-10-03,https://www.sec.gov/Archives/edgar/data/867773/000086777321000076/spwr-20211003.htm,10-Q,867773
200,SPWR,2021-07-04,https://www.sec.gov/Archives/edgar/data/867773/000086777321000060/spwr-20210704.htm,10-Q,867773
201,SPWR,2021-04-04,https://www.sec.gov/Archives/edgar/data/867773/000086777321000045/spwr-20210404.htm,10-Q,867773
202,SPWR,2020-09-27,https://www.sec.gov/Archives/edgar/data/867773/000086777320000098/spwr-20200927.htm,10-Q,867773
203,SPWR,2020-06-28,https://www.sec.gov/ix?doc=/Archives/edgar/data/867773/000086777320000076/spwr-20200628.htm,10-Q,867773
204,SPWR,2020-03-29,https://www.sec.gov/ix?doc=/Archives/edgar/data/867773/000086777320000041/spwr-20200329.htm,10-Q,867773
205,SPWR,2019-09-29,https://www.sec.gov/ix?doc=/Archives/edgar/data/867773/000086777319000066/spwr0929201910-q.htm,10-Q,867773
206,SPWR,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/867773/000086777319000047/spwr0630201910-q.htm,10-Q,867773
